编号,名称,下料长度_mm,截面,标注,备注
T01,上床内收立柱(靠墙),1400,40×60,是,
T02,上床内收立柱(朝房间),1400,40×60,是,
T03,上床长边梁(靠墙),2240,40×60,否,
T04,上床长边梁(朝房间),2240,40×60,是,
T05,上床短边梁(床头),1120,40×60,是,
T06,上床短边梁(床尾),1120,40×60,否,
T07,上床横撑1,1120,40×60,是,
T08,上床横撑2,1120,40×60,否,
T09,上床横撑3,1120,40×60,否,
T10,上床横撑4,1120,40×60,否,
T11,上床横撑5,1120,40×60,否,
T12,围挡前立柱@600,360,40×40,是,
T13,围挡前立柱@1033,360,40×40,否,
T14,围挡前立柱@1467,360,40×40,否,
T15,围挡前立柱@1900,360,40×40,否,
T16,围挡前上横梁,1340,40×40,是,
T17,床梯共用柱(靠墙),1400,40×60,否,
T18,楼梯靠墙外柱,1400,40×60,是,
T19,床梯共用柱(朝房间),1400,40×60,是,
T20,楼梯左底梁1080,1080,40×60,否,
T21,楼梯左底梁560,560,40×60,否,
T22,楼梯左中柱下段,133,40×40,否,
T23,楼梯左中柱上段,193,40×40,否,
T24,踏步1左通横240,240,40×40,否,
T25,踏步1左通横600,600,40×40,否,
T26,踏步1左踢面193,193,40×40,否,
T27,踏步2左通横540,540,40×40,否,
T28,踏步2左通横300,300,40×40,否,
T29,踏步2左踢面193,193,40×40,否,
T30,踏步3左通横840,840,40×40,否,
T31,踏步4左通横840,840,40×40,否,
T32,踏步5左通横540,540,40×40,否,
T33,踏步5左踢面193,193,40×40,否,
T34,踏步6左踢面233,233,40×40,否,
T35,楼梯内侧斜撑,1065,40×60,否,斜杆
T36,楼梯右底梁1700,1700,40×60,是,
T37,楼梯右中柱下段,133,40×40,是,
T38,楼梯右中柱上段,193,40×40,否,
T39,踏步1右通横900,900,40×40,是,
T40,踏步1右踢面193,193,40×40,否,
T41,踏步2右通横900,900,40×40,否,
T42,踏步2右踢面193,193,40×40,否,
T43,踏步3右通横900,900,40×40,否,
T44,踏步3右踢面193,193,40×40,否,
T45,踏步4右通横840,840,40×40,否,
T46,踏步5右通横540,540,40×40,否,
T47,踏步5右踢面193,193,40×40,否,
T48,踏步6右通横300,300,40×40,否,
T49,踏步6右踢面253,253,40×40,否,
T50,楼梯外侧斜撑,1065,40×60,是,斜杆
T51,踏步1外口横杆,470,40×40,是,
T52,踏步2外口横杆,470,40×40,否,
T53,踏步2前下横杆,470,40×40,否,
T54,踏步2抽背横杆,470,40×40,否,
T55,踏步3外口横杆,470,40×40,否,
T56,踏步3前下横杆,470,40×40,否,
T57,踏步3抽背横杆,470,40×40,否,
T58,踏步4外口横杆,470,40×40,否,
T59,踏步4前下横杆,470,40×40,否,
T60,踏步4抽背横杆,470,40×40,否,
T61,踏步5外口横杆,470,40×40,否,
T62,踏步5前下横杆,470,40×40,否,
T63,踏步5后下横杆,470,40×40,否,
T64,踏步6外口横杆,470,40×40,是,
T65,踏步6前下横杆,470,40×40,否,
T66,踏步6靠墙横杆,470,40×40,是,
T67,楼梯靠墙底横杆,470,40×40,是,
T68,楼梯中柱底横杆,470,40×40,是,

合计,68根,46799,,,46.80 m
上床,,,,,2200×1200，床下净高1400；床头外伸400悬挑，落地柱内收至x=400（靠墙/朝房间），床头贴角不落柱
下床,,,,,占位示意1900×1130×400（marker，不进下料）；右缘对齐内收立柱，避免挡布局
楼梯,,,,,"手绘侧视共面骨架：进深1800、高1400，6等分；踏面300、升233.33；梯宽550；通横合并抽底（净深520/520/520/520/520/220）；底梁1760收到一级踢面内皮；中柱@y=900上下段对口通横、中空过斜撑；斜杆(900,200)→(0,855)；踢面1–5同高193；踢面6加长至顶级通横底；顶框（外口/靠墙/右通横）40×40、顶齐床面；床腿落地1400；主架40×60（底梁/立柱/斜撑），踏步40×40（通横/宽度横杆/踢面/中柱）；上床 40×60"
爬梯,,,,,围挡留空600，不焊方钢
口径,,,,,对口净长：立柱/踢面顶到通横内皮，横梁贯通；单位 mm；上床/楼梯主架（底梁·立柱·斜撑）40×60，踏步（通横·横杆·踢面·中柱）/围挡 40×40；斜杆按斜长；建议壁厚≥2.0
