截面,下料长度_mm,数量,小计长度_mm,包含材料,对应T号
【40×60】,,,,,
40×60,560,1,560,楼梯侧底梁560×1,T21
40×60,1065,2,2130,楼梯斜撑×2,T35、T50
40×60,1080,1,1080,楼梯侧底梁1080×1,T20
40×60,1120,7,7840,上床短边梁×2、上床横撑×5,T05、T06、T07、T08、T09、T10、T11
40×60,1400,5,7000,上床内收立柱×2、床梯共用柱×2、楼梯靠墙立柱×1,T01、T02、T17、T19、T18
40×60,1700,1,1700,楼梯侧底梁1700×1,T36
40×60,2240,2,4480,上床长边梁×2,T03、T04

【40×40】,,,,,
40×40,133,2,266,楼梯侧中柱下段×2,T22、T37
40×40,193,9,1737,楼梯侧中柱上段×2、踏步侧踢面193×7,T23、T38、T26、T29、T33、T40、T42、T44、T47
40×40,233,1,233,踏步侧踢面233×1,T34
40×40,240,1,240,踏步侧通横240×1,T24
40×40,253,1,253,踏步侧踢面253×1,T49
40×40,300,2,600,踏步侧通横300×2,T28、T48
40×40,360,4,1440,围挡前立柱×4,T12、T13、T14、T15
40×40,470,18,8460,踏步外口横杆×6、踏步前下横杆×5、踏步抽背横杆×3、踏步后下横杆×1、踏步靠墙横杆×1、楼梯靠墙底横杆×1、楼梯中柱底横杆×1,T51、T52、T55、T58、T61、T64、T53、T56、T59、T62、T65、T54、T57、T60、T63、T66、T67、T68
40×40,540,3,1620,踏步侧通横540×3,T27、T32、T46
40×40,600,1,600,踏步侧通横600×1,T25
40×40,840,3,2520,踏步侧通横840×3,T30、T31、T45
40×40,900,3,2700,踏步侧通横900×3,T39、T41、T43
40×40,1340,1,1340,围挡前上横梁×1,T16

合计,,68,46799,68根 / 20种尺寸,46.80 m
建议采购,,,,,延长×1.08 ≈ 50.54 m，核实壁厚 1.5 或 2.0
上床,,,,,2200×1200，床下净高1400；床头外伸400悬挑，落地柱内收至x=400（靠墙/朝房间），床头贴角不落柱
下床,,,,,占位示意1900×1130×400（marker，不进下料）；右缘对齐内收立柱，避免挡布局
楼梯,,,,,"手绘侧视共面骨架：进深1800、高1400，6等分；踏面300、升233.33；梯宽550；通横合并抽底（净深520/520/520/520/520/220）；底梁1760收到一级踢面内皮；中柱@y=900上下段对口通横、中空过斜撑；斜杆(900,200)→(0,855)；踢面1–5同高193；踢面6加长至顶级通横底；顶框（外口/靠墙/右通横）40×40、顶齐床面；床腿落地1400；主架40×60（底梁/立柱/斜撑），踏步40×40（通横/宽度横杆/踢面/中柱）；上床 40×60"
爬梯,,,,,围挡留空600，不焊方钢
口径,,,,,对口净长：立柱/踢面顶到通横内皮，横梁贯通；单位 mm；上床/楼梯主架（底梁·立柱·斜撑）40×60，踏步（通横·横杆·踢面·中柱）/围挡 40×40；斜杆按斜长；建议壁厚≥2.0
